Site,Year,Type,width,color,nectar,sepal,totpinene,indoleN,seeds,seedsinit,flyescape
hyb,2017,H,2.6,0.36998,0.57292,NA,7.875,0,84.55,95.12,0.90476
hyb,2017,H,2.66667,0.1315,0.3125,NA,16.871,0.1514,12.94,11.79,1
hyb,2017,H,2.9,0.34682,0.625,NA,18.054,0,7.85,6.86,1
hyb,2017,H,2.25,0.38681,1.25,NA,16.908,0,2.21,3.47,0.66667
hyb,2017,H,3.13333,0.44485,0.46875,NA,22.488,0.3925,129.99,140.74,0.93103
hyb,2017,H,3,0.46833,1.09375,NA,5.563,0,11.35,19.24,0.61538
hyb,2017,H,3.03333,0.26375,0.36458,NA,NA,0,53.14,59.09,0.92308
hyb,2017,H,3.36667,0.33549,0.91146,NA,24.791,0,0,NA,0
hyb,2017,H,3.25,0.63068,NA,NA,11.835,0.1194,36.57,58.1,0.63158
hyb,2017,H,3,0.48413,0,NA,12.583,NA,11.52,44.72,0.26667
hyb,2017,H,2.45,0.41853,NA,NA,NA,NA,24.36,28.13,0.88889
hyb,2017,H,2.43333,0.48593,0.10417,NA,7.973,0.0972,14.67,14.67,1
hyb,2017,H,2.76667,0.32962,0.65972,NA,13.1,0.7204,65.45,102.19,0.64286
hyb,2017,H,3.03333,0.45651,0.15625,NA,NA,NA,11.64,17.25,0.6
hyb,2017,H,NA,NA,NA,NA,26.141,NA,NA,NA,NA
hyb,2017,H,2.46667,NA,NA,NA,7.592,1.2795,8,8,1
hyb,2017,H,2.53333,0.44251,0.44271,NA,NA,NA,29.81,47.72,0.61538
hyb,2017,H,3.63333,0.36602,3.54167,NA,6.252,0.5444,4.67,3.44,1
hyb,2017,H,3.23333,0.28595,0.70313,NA,98.092,0.607,9.94,15.32,0.66667
ten,2017,H,3,0.1027,NA,NA,NA,NA,NA,NA,NA
ten,2017,T,3.1,NA,NA,NA,NA,NA,30.64,37.68,0.76923
ten,2017,H,NA,NA,NA,NA,NA,NA,185.39,209.65,0.87097
ten,2017,H,NA,NA,NA,NA,NA,NA,2.4,NA,0.66667
ten,2017,H,2.56667,0.1805,NA,NA,NA,NA,NA,NA,NA
agg,2018,A,3.3,0.49022,2.5,NA,NA,NA,NA,NA,0
agg,2018,A,2.86667,NA,NA,NA,NA,NA,0,NA,0.25
agg,2018,A,2.7,NA,NA,NA,NA,NA,44.4,44.9,1
agg,2018,A,2.3,0.55707,0.54688,NA,NA,NA,99.79,137.69,0.73913
agg,2018,A,3.23333,0.67765,0.54688,NA,NA,NA,34.21,40.44,0.84615
agg,2018,A,NA,0.6088,0,NA,NA,NA,0,0,NA
agg,2018,A,3.5,0.55356,0,NA,NA,NA,58.67,141.71,0.4375
agg,2018,A,3.08,0.63014,NA,NA,NA,NA,26.83,28.88,1
agg,2018,A,3.16667,0.58359,NA,NA,NA,NA,5.4,10.8,0.5
agg,2018,A,NA,NA,NA,NA,NA,NA,NA,NA,NA
agg,2018,A,NA,0.60436,NA,NA,NA,NA,4.44,24.44,0.18182
agg,2018,A,3.15,0.57356,1.17188,NA,20.103,NA,9,9,1
agg,2018,A,3.1,0.32892,NA,NA,NA,NA,0,0,NA
agg,2018,A,2.35,0.6675,0.46875,NA,NA,NA,3.18,8.68,0.375
agg,2018,A,3.2,0.64946,NA,NA,NA,NA,85.41,134.7,0.64865
agg,2018,A,3.2,0.68848,0,NA,NA,NA,1.35,1.35,1
agg,2018,A,3.25,0.6079,0.07813,NA,5.022,NA,40.89,91.67,0.45455
agg,2018,A,3.63333,0.48336,1.15885,NA,19.151,NA,38.89,37.33,1
agg,2018,A,2.9,0.62268,NA,NA,NA,NA,19.8,49,0.42857
agg,2018,A,3.4,0.57578,NA,NA,NA,NA,NA,NA,NA
agg,2018,A,2.7,NA,NA,NA,NA,NA,13.33,13.33,1
agg,2018,A,2.6,0.6128,0,NA,18.878,NA,8,15.16,0.55556
agg,2018,A,2.9333,0.48872,NA,NA,5.766,NA,30.92,35.75,0.91667
agg,2018,A,3.7,0.57494,0,NA,NA,NA,8.61,22.16,0.375
agg,2018,A,3.15,0.63656,NA,NA,NA,NA,16.76,22.35,0.75
agg,2018,A,3.3,0.49876,1.52344,NA,NA,NA,2.5,2.5,1
agg,2018,A,3,0.62023,NA,NA,NA,NA,0,0,NA
agg,2018,A,2.93333,0.48749,NA,NA,NA,NA,17.14,33.6,0.5
agg,2018,A,3.25,0.53905,0,NA,4.337,NA,23.52,43.13,0.54545
agg,2018,A,1.55,0.51551,NA,NA,5.212,NA,102.73,229.72,0.46667
agg,2018,A,2.2,0.68878,1.58203,NA,11.027,NA,14.45,30,0.5
agg,2018,A,2.8,NA,NA,NA,NA,NA,0,0,NA
agg,2018,A,2.73333,0.58943,NA,NA,22.792,NA,41.1,58.82,0.75
agg,2018,A,NA,0.54554,NA,NA,NA,NA,0,0,NA
agg,2018,A,2.36667,0.67271,0.9375,NA,NA,NA,40.07,47.67,0.84615
agg,2018,A,2.45,0.647,0.15625,NA,7.716,NA,30,30,1
agg,2018,A,2.5,0.56863,0.54688,NA,NA,NA,0,0,NA
agg,2018,A,2.55,0.61189,2.8125,NA,NA,NA,0,0,NA
agg,2018,A,2.4,0.50564,0.78125,NA,NA,NA,0,NA,0
agg,2018,A,3.7,0.68941,NA,NA,NA,NA,0,0,NA
agg,2018,A,3.13333,0.59624,0.50781,NA,5.182,NA,2.45,3.63,0.66667
agg,2018,A,3.5,0.66421,NA,NA,NA,NA,22.16,32.64,0.71429
agg,2018,A,3.4,NA,NA,NA,6.299,NA,60.17,61.72,1
agg,2018,A,3.3,0.59285,NA,NA,NA,NA,8.25,20.63,0.4
agg,2018,A,3.3,0.52173,2.28516,NA,NA,NA,2.55,2.55,1
agg,2018,A,3,0.57035,1.83594,NA,6.661,NA,16.59,25.19,0.75
agg,2018,A,2.12,NA,NA,NA,4.379,NA,NA,NA,NA
agg,2018,A,3.2,0.63287,0.11719,NA,NA,NA,0,NA,0
agg,2018,A,2.6,0.54052,0.15625,NA,4.289,NA,55.9,65.76,0.875
agg,2018,A,3.15,0.63706,NA,NA,NA,NA,45,90,0.5
hyb,2018,H,2.675,0.40884,0.07813,NA,NA,NA,2.41,2.38,1
hyb,2018,H,2.9,0.53478,NA,NA,NA,NA,147.59,159.08,0.96552
hyb,2018,H,2.3,0.33294,NA,NA,NA,NA,9.31,12.3,0.77778
hyb,2018,H,2.5,0.58217,NA,NA,NA,0,78.52,85.2,0.93939
hyb,2018,H,1.86667,0.39699,NA,NA,NA,NA,67.85,70.47,0.97368
hyb,2018,H,1.66667,0.33981,0.07813,NA,NA,NA,0,0,NA
hyb,2018,H,1.85,0.52863,NA,NA,NA,NA,0,0,NA
hyb,2018,H,2.4,0.21605,NA,NA,NA,NA,0,0,NA
hyb,2018,H,2.13333,0.71376,NA,NA,NA,NA,43.88,52.65,0.83333
hyb,2018,H,2.16667,0.44085,NA,NA,NA,0,111.14,114.02,1
hyb,2018,H,1.725,0.45575,0.3125,NA,8.089,1.4378,8.31,8.27,1
hyb,2018,H,1.867,0.28494,0,NA,NA,NA,7.03,10.32,0.66667
hyb,2018,H,2.225,0.4866,NA,NA,NA,NA,13.2,13.89,1
hyb,2018,H,2.15,0.02573,NA,NA,8.546,NA,1.08,1.07,1
hyb,2018,H,2.8,0.12588,NA,NA,NA,NA,16.83,16.78,1
hyb,2018,H,2.1,0.39016,NA,NA,11.312,NA,NA,NA,NA
hyb,2018,H,1.6,0.39422,0.09766,NA,3.093,NA,46.91,80,0.7
hyb,2018,H,2.65,0.52437,0.50781,NA,NA,NA,26.89,26.89,1
hyb,2018,H,2.73333,0.40647,NA,NA,NA,0,5.64,5.64,1
hyb,2018,H,2.33333,0.53621,0,NA,NA,NA,0,0,NA
hyb,2018,H,2.3,0.66535,NA,NA,NA,NA,11.67,13.71,0.875
hyb,2018,H,NA,NA,NA,NA,NA,NA,8,8,1
hyb,2018,H,2.66667,0.38806,NA,NA,NA,NA,67.48,91.93,0.77273
hyb,2018,H,2.66667,0.4398,NA,NA,NA,0.017,1.14,1.12,1
hyb,2018,H,1.9,0.35393,NA,NA,NA,NA,96.32,100.7,1
hyb,2018,H,1.8,NA,NA,NA,NA,NA,25.6,27.43,1
hyb,2018,H,2.86667,0.60806,0,NA,NA,0,16.49,16.96,1
hyb,2018,H,2.4,0.61335,NA,NA,12.967,NA,35,39.01,0.9375
hyb,2018,H,2.55,0.61922,NA,NA,NA,NA,7.63,7.81,1
hyb,2018,H,2.46667,0.63507,NA,NA,NA,NA,22.82,24.44,1
hyb,2018,H,NA,NA,NA,NA,34.074,0,NA,NA,NA
hyb,2018,H,NA,NA,NA,NA,NA,0,NA,NA,NA
hyb,2018,H,2.33333,0.45955,0.85938,NA,9.58,0,13.95,17.23,0.81818
hyb,2018,H,2.5,0.23607,NA,NA,NA,NA,2.25,4.5,0.5
hyb,2018,H,2.66667,0.67267,NA,NA,NA,NA,73.23,80.48,0.93333
hyb,2018,H,2.56667,0.36829,0.23438,NA,12.5,0,1.39,1.35,1
hyb,2018,H,2.9,NA,NA,NA,NA,NA,25.33,25.49,1
hyb,2018,H,1.85,0.35527,0,NA,NA,NA,24.72,27.86,0.92308
ten,2018,H,3.76667,0.76941,NA,NA,NA,NA,10.3,12.06,0.90909
ten,2018,T,3.55,0.20572,NA,NA,NA,NA,96.01,95.96,1
ten,2018,H,2.6,0.5584,NA,NA,NA,NA,31,31.94,1
