Site,Year,Type,width,color,nectar,sepal,totpinene,indoleN,seeds,seedsinit,flyescape
hyb,2012,H,2.5,0.80987,NA,1.4,NA,NA,23.81,23.69,1
ten,2012,H,3.36667,0.40427,2.61719,NA,NA,NA,112.36,121.4,0.91176
ten,2012,A,3.675,0.73426,1.99219,1.5,NA,NA,63.71,79.08,0.81481
ten,2012,H,3.5,0.5553,0.58594,1.38,NA,NA,202.45,325.13,0.625
ten,2012,H,3.16667,0.40532,1.40625,NA,NA,NA,6,5.5,1
agg,2013,H,2.94,0.36568,1.3,NA,NA,1.7559,3.33,3,1
agg,2013,H,3.5,0.56119,2.1,NA,33.825,0,61.05,86.11,0.69565
agg,2013,A,3.16,0.48357,1.48,NA,40.804,0,45.38,53.3,0.81818
agg,2013,H,3.43333,0.48686,4.65,NA,86.762,0,51.96,97.42,0.53333
agg,2013,H,3.7,0.34116,0,NA,115.586,0,23,26.29,0.875
agg,2013,H,3.275,0.49698,1,NA,NA,NA,4.36,4.15,1
agg,2013,H,2.78,0.66377,1,NA,NA,NA,33.6,33.6,1
agg,2013,A,3,0.57439,0.7,NA,NA,NA,14.8,14.8,1
agg,2013,A,3.64,0.58638,2.2,NA,NA,NA,50.93,55.36,0.8
agg,2013,A,3.42,0.53285,2.3,NA,NA,NA,58.23,68.25,0.84615
agg,2013,A,3.8,0.47861,2.4,NA,NA,NA,86.06,103.27,0.83333
agg,2013,A,3.68,0.61664,0.9,NA,NA,NA,96.12,91.54,0.88235
agg,2013,A,3.76,0.65433,3.28,NA,NA,NA,0,0,NA
agg,2013,A,3.48,0.60776,2.5,NA,NA,NA,37.19,49.5,0.77778
agg,2013,A,3.38,0.65048,2.73,NA,NA,NA,88.91,109.73,0.81818
hyb,2013,H,3.6,0.68248,0.8,NA,NA,NA,48.21,46.25,1
hyb,2013,A,2.48,0.56621,1.9,NA,47.997,0,52.73,60.06,0.86486
hyb,2013,A,3.14286,0.74224,2,NA,181.217,0,127.19,126.96,0.98592
hyb,2013,A,3.7,0.48662,3.2,NA,35.88,0,47.3,49.3,0.9375
hyb,2013,H,3.2,0.57083,1.9,NA,78.719,0,59.43,62.2,0.91667
hyb,2013,H,2.4,NA,NA,NA,NA,NA,NA,NA,NA
hyb,2013,H,2.83333,0.27428,0.2,NA,NA,NA,NA,NA,NA
hyb,2013,H,2.42,0.46504,NA,NA,NA,NA,NA,NA,NA
ten,2013,T,3.08,0.27157,0.6875,NA,NA,NA,246.38,312.95,0.78814
ten,2013,H,3.325,0.52326,3.75,NA,NA,NA,41.85,98.24,0.42105
ten,2013,H,3.42,0.79954,1.14063,NA,NA,NA,110.86,147.16,0.72917
ten,2013,H,2.82,0.77426,1.85547,NA,NA,NA,62.4,88.72,0.69697
agg,2014,H,3.45,0.42948,1.289,1.75,505.107,0,134,150.99,0.88571
agg,2014,H,3.3,0.42328,NA,NA,NA,NA,NA,NA,NA
agg,2014,H,3.15,0.32921,1.055,1.35,NA,NA,149.27,179.2,0.82143
agg,2014,H,2.625,0.02055,1.617,1.5,278.374,0,117.08,119.39,0.97297
agg,2014,A,3.3,0.67157,0.391,1,231.527,0,253.81,271.02,0.93651
agg,2014,H,3,0.37482,NA,1.9,250.189,0,13.14,65.71,0.2
agg,2014,H,3.5,0.35421,0.156,1.5,331.743,0,39.79,44.55,0.88889
agg,2014,H,3.6,0.60727,0.859,1.5,396.108,0,53.38,60.5,0.88235
agg,2014,H,3.075,0.66245,NA,1.55,230.438,0,89.29,93.54,0.96
agg,2014,H,3.2,0.36412,0,1.45,310.295,0,242,242.09,1
agg,2014,H,3.3,0.61271,0.234,1.7,333.882,0,92.3,97.73,0.94444
hyb,2014,A,3.4,0.73787,1.836,1.5,117.946,0,207.27,253.4,0.81633
hyb,2014,H,2.9,0.07101,0.391,1.3,94.668,0,154.78,179.22,0.86364
hyb,2014,H,2.9,0.65622,0.977,1.33,409.129,0,72.3,105.23,0.68421
hyb,2014,H,3.2,0.63773,0,1.63,203.26,0,80.29,93.68,0.85714
hyb,2014,A,3.4,0.70135,0.469,1.35,355.238,0,124.8,143.29,0.87097
hyb,2014,H,3.5,0.64229,0.391,1.5,396.261,0,13.87,15.26,0.90909
hyb,2014,H,3.15,0.60764,0,1.5,476.579,0,46.61,53.97,0.85714
hyb,2014,H,2.65,0.62445,NA,1.35,105.548,0,67.2,67.1,1
hyb,2014,T,1.975,0.07147,0.3125,1.3,111.523,0,159.13,164.19,0.9661
hyb,2014,H,2.7,0.02173,NA,1.8,522.789,0,33.93,46.65,0.72727
hyb,2014,H,2.96667,0.67021,0.703,1.2,323.147,0,131.48,151.68,0.82927
ten,2014,H,3.05,0.58394,0.664,1.65,194.352,0,101.67,120.91,0.82927
ten,2014,H,2.65,0.54105,1.094,1.5,224.429,0,93.83,113.91,0.8125
ten,2014,T,3.5,NA,0.234,1,73.322,2.9395,228.13,233.31,0.97778
ten,2014,H,2.85,0.30672,1.133,1.65,337.064,0,214.15,247.43,0.86275
ten,2014,T,2.4,0.0308,NA,1.5,NA,NA,NA,0,NA
ten,2014,H,3.85,0.50336,0.43,1.95,362.819,0,26,19.5,1
ten,2014,H,3.25,0.71074,1.055,1.7,518.669,0,103.33,105.78,0.75
ten,2014,H,3.55,0.46084,0.703,1.85,483.554,0.5367,12.09,8.1,1
ten,2014,H,3.26667,0.54794,1.016,1.6,670.959,7.9004,126.04,200.17,0.61111
ten,2014,H,3.05,0.60679,1.445,2.35,621.72,0,133.09,174.96,0.72414
ten,2014,H,3,0.779,1.172,1.4,631.188,0,30.6,25.84,0.83333
ten,2014,T,3.5,0.06281,0.117,1.45,557.182,0,56.55,56.03,0.875
ten,2014,H,3.6,0.83338,1.328,1.5,675.213,0,143.33,168.9,0.83824
ten,2014,H,3.7,0.68324,1.172,1.53,215.849,0,270.24,381.66,0.68966
ten,2014,H,3.25,0.83775,0.586,1.5,185.639,3.9985,58.16,147.48,0.3871
ten,2014,H,3.45,0.35351,NA,2,NA,NA,NA,0,NA
ten,2014,H,3,0.51621,0.234,1.65,509.981,0,52.58,55.35,0.92308
ten,2014,H,3.33333,0.59531,1.055,1.6,167.347,0,159.52,270.61,0.58667
ten,2014,A,3.66667,0.64554,1.289,1.7,310.164,0,92.89,149.56,0.59375
ten,2014,H,3.4,0.61581,1.211,1.4,268.129,0,110.65,139.78,0.76667
ten,2014,H,3.13333,0.60763,0.316,1.4,289.372,2.8106,56.23,57.54,0.92308
ten,2014,T,3,0.26276,0.156,1.25,224.46,0,272.29,266.96,1
ten,2014,H,3.15,0.71122,2.5,1.25,237.69,0,177.58,332.17,0.53165
ten,2014,H,3.55,0.91405,2.578,1.65,355.079,0,126.78,150.64,0.78947
ten,2014,H,3.36667,0.83357,0.3125,1.23,411.937,0,116.81,119.14,0.91304
ten,2014,H,3.4,0.09812,1.094,1.95,437.56,1.9543,84.86,114.75,0.70588
ten,2014,A,2.8,0.8356,2.148,1.6,245.988,0,55.09,75.98,0.7
agg,2015,H,2.76667,0.63194,0,1.53,NA,NA,0,0,NA
agg,2015,H,3.23333,0.62729,1.04297,1.67,NA,NA,0,0,NA
agg,2015,A,4.4,NA,NA,NA,NA,NA,NA,0,NA
agg,2015,A,3.76667,NA,NA,NA,NA,NA,4.23,6.57,0.66667
agg,2015,A,3.96667,NA,NA,NA,NA,NA,85.55,96.24,0.88889
agg,2015,A,3.6,NA,NA,NA,NA,NA,61.13,70.22,0.85714
agg,2015,A,3.54,NA,NA,NA,NA,NA,58.9,101.15,0.58537
agg,2015,A,3.13333,NA,NA,NA,NA,NA,45.11,54.07,0.83333
agg,2015,A,4.03333,NA,NA,NA,NA,NA,128.76,211.46,0.60976
agg,2015,A,3.4,NA,NA,NA,NA,NA,144.72,191.23,0.75676
agg,2015,A,3.7,NA,NA,NA,NA,NA,94.68,156.71,0.60417
agg,2015,A,4.7,NA,NA,NA,NA,NA,58.21,61.53,0.94444
