Plant_ID,Block,Source,Treatment,date_sampling,days_setup,nectar_vl,nectar_conc,fl_width,fl_lenght,mean_size,diameter,buds,flowers,buds_2,flowers_2,init_fruits,init_fruits_2,mature_fruits,mature_fruits_2,tot_fruits,tot_fruits2,fruit_tot,mean_seeds,seedset
SC250,7,SC,C,2021-08-27,15,2.21484375,37.65,39.94,46.15,42.9328662,5.59,4,7,0,4,88,154,0,3,88,157,122.5,5.5,863.5
SC3,5,SC,PR,2021-09-05,24,1.2265625,37.65,32.31,36.065,34.13590705,6.19,7,8,2,2,85,118,0,1,85,119,102,4.6,547.4
SC31,5,SC,D,2021-08-25,13,0.956129033,41.7,34.57,48.365,40.8898282,4.12,11,12,0,7,122,118,0,0,122,118,120,4.4,519.2
SC32,8,SC,D,2021-09-03,22,0.957096775,38.1,37.36,41.425,39.3400305,5.32,3,11,3,3,49,72,17,45,66,117,91.5,4.5,526.5
SC33,6,SC,D,2021-09-10,29,1.601612903,39.5,40.78,43.755,42.24131745,6.21,0,1,9,16,90,78,22,20,112,98,105,5,490
SC34,8,SC,C,2021-09-04,23,1.44140625,40.85,25.33,35.34,29.91926135,5.71,0,0,0,0,108,123,1,6,109,129,119,5.6,722.4
SC36,6,SC,PR,2021-09-09,28.5,1.56953125,37.5,37.96,38.335,38.1470392,5.37,6,16,4,9,82,98,1,6,83,104,93.5,3.9,405.6
SC38,6,SC,PR,2021-09-08,27,1.59921875,39.3,32.87,40.565,36.51536047,7.44,4,15,4,2,49,69,3,12,52,81,66.5,5.1,413.1
SC39,1,SC,C,2021-09-15,34,2.70078125,41.8,43.495,57.75,50.11822273,5.77,20,6,12,4,68,170,0,5,68,175,121.5,5.6,980
SC4,6,SC,PR,2021-09-09,28,2.3515625,36.85,36.335,41.59,38.87380416,5.45,4,15,1,8,112,161,25,23,137,184,160.5,3.9,717.6
SC42,7,SC,D,2021-08-27,15,0.865645161,40,31.755,36.275,33.93983832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA
SC44,5,SC,C,2021-08-26,14,1.6703125,38.65,32.715,46.7,39.08696074,7.64,10,37,21,9,35,87,0,0,35,87,61,4.2,365.4
SC45,7,SC,D,2021-08-28,16,0.882096774,39.5,36.69,38.76,37.71079951,4.92,3,3,0,1,86,79,4,25,90,104,97,5.4,561.6
SC46,6,SC,PR,2021-09-09,28.5,1.81171875,39.95,43.895,51.89,47.72537637,5.73,1,3,3,7,77,102,50,50,127,152,139.5,5,760
SC47,6,SC,C,2021-09-09,28,2.1125,42.15,44.6,45.695,45.14418013,4.63,0,0,0,0,154,93,31,27,185,120,152.5,5.6,672
SC49,6,SC,D,2021-09-10,29,1.882258065,36.4,61.345,50.815,55.83230405,5.02,4,15,3,2,5,88,0,11,5,99,52,5.2,514.8
